"library_system","web_address","state","popu_lsa_2019","web_visits_2019","locale_mod","cen_tract"
"PASO ROBLES CITY LIBRARY","http://www.prcity.com/library","CA",31244,14190,13,101.02
"PLACENTIA LIBRARY DISTRICT","https://www.placentialibrary.org","CA",55850,96363,21,117.16
"PLACER COUNTY LIBRARY","http://www.placer.ca.gov/library","CA",201884,-1,21,203
"PLEASANTON PUBLIC LIBRARY","http://www.cityofpleasantonca.gov/gov/depts/lib/default.asp","CA",80492,141379,13,4506.07
"PLUMAS COUNTY LIBRARY","https://www.plumascounty.us/546/Library","CA",22992,-1,43,1
"POMONA PUBLIC LIBRARY","http://www.pomonalibrary.org","CA",154310,-1,21,4088
"PORTERVILLE PUBLIC LIBRARY","http://www.portervillelibrary.org","CA",60260,84022,23,38.02
"RANCHO CUCAMONGA PUBLIC LIBRARY","http://www.rcpl.lib.ca.us/","CA",179412,360706,21,20.27
"RANCHO MIRAGE PUBLIC LIBRARY","http://www.ranchomiragelibrary.org","CA",18489,181327,21,451.03
"REDONDO BEACH PUBLIC LIBRARY","http://redondo.org/library","CA",68473,71430,21,6212.04
"REDWOOD CITY PUBLIC LIBRARY","http://www.redwoodcity.org/library","CA",85319,92246,13,6102.02
"RICHMOND PUBLIC LIBRARY","http://www.richmondlibrary.org","CA",110436,22806,21,3740
"RIVERSIDE COUNTY LIBRARY SYSTEM","http://www.rivlib.net","CA",1339695,2646124,21,403.01
"RIVERSIDE PUBLIC LIBRARY","http://www.riversideca.gov/library/","CA",328101,1474975,11,303
"ROSEVILLE PUBLIC LIBRARY","http://www.roseville.ca.us/library","CA",139643,1304321,12,209.01
"SACRAMENTO PUBLIC LIBRARY","http://www.saclibrary.org","CA",1466339,7913846,11,11.01
"SALINAS PUBLIC LIBRARY","https://www.salinaspubliclibrary.org","CA",162797,136720,12,13
"SAN ANSELMO PUBLIC LIBRARY","http://sananselmolibrary.org","CA",12902,10396,21,1170
"SAN BENITO COUNTY FREE LIBRARY","www.sbcfl.org","CA",60215,119882,32,4
"SAN BERNARDINO COUNTY LIBRARY","www.sbclib.org","CA",1284036,1704596,21,65
"SAN BERNARDINO PUBLIC LIBRARY","http://www.sbpl.org","CA",219233,-1,12,57.01
"SAN BRUNO PUBLIC LIBRARY","http://www.sanbrunolibrary.org","CA",45257,44402,21,6040
"SAN DIEGO COUNTY LIBRARY","https://www.sdcl.org","CA",1127296,2710046,21,85.11
"SAN DIEGO PUBLIC LIBRARY","http://www.sandiego.gov/public-library","CA",1420572,10378519,11,51
"SAN FRANCISCO PUBLIC LIBRARY","http://sfpl.org","CA",883869,7220507,11,124.02
"SAN JOSE PUBLIC LIBRARY","http://www.sjpl.org","CA",1043058,2929626,11,5009.01
"SAN JUAN BAUTISTA CITY LIBRARY","http://www.san-juan-bautista.ca.us/city/library.htm","CA",2081,-1,41,2
"SAN LEANDRO PUBLIC LIBRARY","http://www.sanleandrolibrary.org","CA",89825,331530,21,4326
"SAN LUIS OBISPO CITY-COUNTY LIBRARY","http://slolibrary.org","CA",249149,387427,23,111.01
"SAN MATEO COUNTY LIBRARIES","http://smcl.org","CA",285263,2474704,21,6069
"SAN MATEO PUBLIC LIBRARY","http://www.smplibrary.org","CA",108493,285813,12,6064
"SAN RAFAEL PUBLIC LIBRARY","http://www.srpubliclibrary.org","CA",60046,118200,13,1110
"SANTA ANA PUBLIC LIBRARY","https://www.santa-ana.org/library","CA",337716,104953,11,750.02
"SANTA BARBARA PUBLIC LIBRARY","http://sbplibrary.org","CA",144335,478874,22,9
"SANTA CLARA CITY LIBRARY","http://sclibrary.org","CA",128717,1009822,12,5054.02
"SANTA CLARA COUNTY LIBRARY","http://www.sccl.org","CA",444567,2898878,21,5065.02
"SANTA CLARITA PUBLIC LIBRARY","http://www.santaclaritalibrary.com","CA",218103,470984,21,9203.29
"SANTA CRUZ PUBLIC LIBRARIES","http://www.santacruzpl.org/","CA",221850,1557872,22,1007
"SANTA FE SPRINGS CITY LIBRARY","http://www.sfslibrary.org","CA",18261,-1,21,5028.01
"SANTA MARIA PUBLIC LIBRARY","http://www.cityofsantamaria.org/library","CA",155078,81739,12,21.01
"SANTA MONICA PUBLIC LIBRARY","https://www.smpl.org","CA",93593,906897,13,7019.02
"SAUSALITO PUBLIC LIBRARY","http://www.sausalitolibrary.org","CA",7416,37627,21,1302.02
"SHAFTER LIBRARY","www.shafterlearning.com",NA,NA,NA,NA,NA
"SHASTA PUBLIC LIBRARIES","http://www.shastalibraries.org","CA",178773,227218,13,104
"SIERRA MADRE PUBLIC LIBRARY","www.cityofsierramadre.com/services/library","CA",11135,-1,21,4305.02
"SIGNAL HILL PUBLIC LIBRARY","http://www.cityofsignalhill.org/library","CA",11795,5514,21,5734.02
"SIMI VALLEY PUBLIC LIBRARY","www.simivalleylibrary.org","CA",127716,246752,22,85
